Total discordant reads:	4103206
Chromosome distribution:
1699259 chr2
 230281 chr4
 174091 chr5
 173530 chr1
 164363 chr10
 154283 chr17
 143611 chr3
 111855 chrY
 107739 chr6
 102881 chr7
  98373 chrX
  97352 chr16
  92903 chr8
  85492 chr12
  85237 chr9
  84578 chr11
  80560 chr21
  71712 chr20
  64437 chr18
  62643 chr13
  61164 chr14
  55317 chr15
  47100 chr19
  43499 chr22
  10946 chrM
Inter-chromosomal mapping:
   2645 chr5 chr20
   2645 chr20 chr5
   2621 chr4 chr21
   2621 chr21 chr4
   2614 chr1 chr10
   2614 chr10 chr1
   2538 chr4 chr22
   2538 chr22 chr4
   2339 chr22 chr21
   2339 chr21 chr22
   2103 chrY chr22
   2103 chr22 chrY
   2062 chr21 chr20
   2062 chr20 chr21
   1723 chr5 chr17
   1723 chr17 chr5
   1644 chr4 chr3
   1644 chr3 chr4
   1610 chr20 chr17
   1610 chr17 chr20
   1443 chr22 chr20
   1443 chr20 chr22
   1430 chr22 chr10
   1430 chr10 chr22
   1427 chr22 chr14
   1427 chr14 chr22
   1337 chr4 chr1
   1337 chr1 chr4
   1327 chr5 chr21
   1327 chr21 chr5
   1323 chr3 chr1
   1323 chr1 chr3
   1299 chr7 chr1
   1299 chr1 chr7
   1215 chr21 chr13
   1215 chr13 chr21
   1207 chr7 chr16
   1207 chr16 chr7
   1175 chr6 chr3
   1175 chr3 chr6
   1134 chr6 chr1
   1134 chr1 chr6
   1132 chr9 chr20
   1132 chr20 chr9
   1087 chrX chr1
   1087 chr1 chrX
   1076 chr9 chr4
   1076 chr4 chr9
   1058 chr1 chr12
   1058 chr12 chr1
   1031 chr1 chr17
   1031 chr17 chr1
   1015 chr22 chr13
   1015 chr13 chr22
   1014 chr5 chr22
   1014 chr22 chr5
    994 chr5 chr3
    994 chr3 chr5
    992 chr9 chr22
    992 chr22 chr9
    956 chr7 chr4
    956 chr4 chr7
    951 chr1 chr16
    951 chr16 chr1
    915 chr9 chr1
    915 chr1 chr9
    913 chrY chr15
    913 chr15 chrY
    911 chr8 chr3
    911 chr3 chr8
    899 chr9 chr3
    899 chr7 chr3
    899 chr3 chr9
    899 chr3 chr7
    888 chr5 chr12
    888 chr12 chr5
    878 chr1 chr11
    878 chr11 chr1
    872 chrX chr3
    872 chr3 chrX
    871 chr6 chr4
    871 chr4 chr6
    870 chr21 chr14
    870 chr14 chr21
    868 chr8 chr1
    868 chr1 chr8
    850 chr3 chr12
    850 chr12 chr3
    837 chr3 chr10
    837 chr10 chr3
    817 chrX chr7
    817 chr7 chrX
    817 chr7 chr5
    817 chr5 chr7
    811 chrX chr4
    811 chr6 chr5
    811 chr5 chr6
    811 chr4 chrX
    808 chr7 chr12
    808 chr12 chr7
    801 chr7 chr10
    801 chr10 chr7
    790 chr9 chr21
    790 chr21 chr9
    788 chrX chr5
    788 chr5 chrX
    779 chr4 chr14
    779 chr14 chr4
    756 chr3 chr11
    756 chr11 chr3
    750 chr22 chr17
    750 chr17 chr22
    748 chr4 chr12
    748 chr12 chr4
    747 chr3 chr22
    747 chr22 chr3
    738 chrX chr6
    738 chr6 chrX
    731 chr14 chr13
    731 chr13 chr14
    729 chr20 chr16
    729 chr16 chr20
    725 chr3 chr20
    725 chr20 chr3
    717 chr16 chr10
    717 chr10 chr16
    716 chr1 chr14
    716 chr14 chr1
    715 chr7 chr6
    715 chr6 chr7
    707 chr6 chr12
    707 chr12 chr6
    703 chrX chr12
    703 chr12 chrX
    701 chr9 chr7
    701 chr7 chr9
    687 chrY chr7
    687 chr7 chrY
    678 chr9 chr5
    678 chr5 chr9
    670 chr21 chr16
    670 chr16 chr21
    668 chr12 chr10
    668 chr10 chr12
    667 chr8 chr5
    667 chr5 chr8
    667 chr22 chr1
    667 chr1 chr22
    660 chr4 chr16
    660 chr16 chr4
    659 chr7 chr20
    659 chr20 chr7
    656 chrX chr11
    656 chr17 chr16
    656 chr16 chr17
    656 chr11 chrX
    654 chr3 chr14
    654 chr14 chr3
    650 chr5 chr11
    650 chr11 chr5
    646 chr20 chr1
    646 chr1 chr20
    641 chr1 chr15
    641 chr15 chr1
    636 chr7 chr11
    636 chr11 chr7
    630 chr4 chr11
    630 chr11 chr4
    624 chr20 chr15
    624 chr15 chr20
    619 chr12 chr11
    619 chr11 chr12
    618 chr5 chr18
    618 chr18 chr5
    617 chr8 chr7
    617 chr7 chr8
    613 chr8 chr6
    613 chr6 chr8
    612 chr6 chr11
    612 chr11 chr6
    609 chrX chr10
    609 chr10 chrX
    608 chr7 chr17
    608 chr17 chr7
    607 chr1 chr13
    607 chr13 chr1
    605 chr6 chr10
    605 chr10 chr6
    601 chrX chr8
    601 chr8 chrX
    590 chr8 chr12
    590 chr12 chr8
    585 chr7 chr21
    585 chr21 chr7
    581 chr9 chr6
    581 chr6 chr9
    580 chr21 chr1
    580 chr1 chr21
    575 chr5 chr16
    575 chr16 chr5
    573 chr9 chr10
    573 chr10 chr9
    571 chr9 chr12
    571 chr12 chr9
    556 chr3 chr16
    556 chr16 chr3
    548 chr20 chr18
    548 chr18 chr20
    541 chrX chr9
    541 chr9 chrX
    534 chrY chr3
    534 chr7 chr14
    534 chr3 chrY
    534 chr14 chr7
    530 chr7 chr19
    530 chr19 chr7
    528 chr7 chr22
    528 chr22 chr7
    522 chr3 chr17
    522 chr17 chr3
    522 chr11 chr10
    522 chr10 chr11
    521 chr9 chr16
    521 chr16 chr9
    517 chr3 chr21
    517 chr21 chr3
    515 chr8 chr10
    515 chr10 chr8
    512 chr22 chr16
    512 chr16 chr22
    505 chr5 chr14
    505 chr14 chr5
    501 chr14 chr10
    501 chr10 chr14
    500 chr4 chr15
    500 chr15 chr4
    497 chr16 chr12
    497 chr12 chr16
    495 chr6 chr14
    495 chr14 chr6
    494 chr3 chr13
    494 chr13 chr3
    491 chrY chr14
    491 chrX chr14
    491 chr14 chrY
    491 chr14 chrX
    490 chr20 chr12
    490 chr12 chr20
    486 chr9 chr8
    486 chr8 chr9
    483 chr8 chr11
    483 chr11 chr8
    480 chr7 chr15
    480 chr15 chr7
    479 chr6 chr16
    479 chr16 chr6
    478 chr20 chr14
    478 chr14 chr20
    476 chr1 chr18
    476 chr18 chr1
    475 chr3 chr19
    475 chr21 chr15
    475 chr19 chr3
    475 chr15 chr21
    473 chr9 chr14
    473 chr14 chr9
    472 chr4 chr13
    472 chr13 chr4
    468 chr8 chr14
    468 chr5 chr15
    468 chr15 chr5
    468 chr14 chr8
    464 chr17 chr12
    464 chr12 chr17
    457 chrY chrX
    457 chrX chrY
    451 chrX chr17
    451 chr17 chrX
    450 chrX chr16
    450 chr16 chrX
    444 chr9 chr17
    444 chr17 chr9
    444 chr14 chr12
    444 chr12 chr14
    441 chr3 chr15
    441 chr15 chr3
    438 chrX chr20
    438 chr20 chrX
    435 chr9 chr11
    435 chr11 chr9
    429 chrX chr13
    429 chr13 chrX
    426 chr5 chr13
    426 chr13 chr5
    423 chr20 chr11
    423 chr15 chr10
    423 chr11 chr20
    423 chr10 chr15
    422 chr19 chr12
    422 chr12 chr19
    419 chr4 chr19
    419 chr3 chr18
    419 chr19 chr4
    419 chr18 chr3
    418 chr16 chr11
    418 chr11 chr16
    414 chr17 chr11
    414 chr11 chr17
    410 chr7 chr13
    410 chr13 chr7
    407 chr17 chr14
    407 chr14 chr17
    406 chrX chr21
    406 chr6 chr17
    406 chr21 chrX
    406 chr17 chr6
    405 chr6 chr19
    405 chr19 chr6
    405 chr19 chr11
    405 chr11 chr19
    403 chr6 chr13
    403 chr19 chr16
    403 chr16 chr19
    403 chr13 chr6
    397 chrX chr15
    397 chr15 chrX
    394 chr19 chr10
    394 chr10 chr19
    392 chr16 chr15
    392 chr15 chr16
    387 chr9 chr18
    387 chr8 chr17
    387 chr18 chr9
    387 chr17 chr8
    385 chr17 chr15
    385 chr15 chr17
    384 chr6 chr15
    384 chr15 chr6
    383 chr14 chr11
    383 chr11 chr14
    379 chrX chr19
    379 chr19 chrX
    378 chr8 chr16
    378 chr16 chr8
    378 chr15 chr12
    378 chr12 chr15
    376 chr6 chr20
    376 chr20 chr6
    373 chr22 chr18
    373 chr18 chr22
    371 chrY chr1
    371 chr1 chrY
    367 chr9 chr15
    367 chr15 chr9
    362 chr21 chr12
    362 chr13 chr12
    362 chr12 chr21
    362 chr12 chr13
    352 chr20 chr19
    352 chr19 chr20
    349 chr9 chr19
    349 chr19 chr9
    347 chrY chr9
    347 chr9 chrY
    344 chr9 chr13
    344 chr8 chr19
    344 chr19 chr8
    344 chr13 chr9
    343 chr15 chr11
    343 chr11 chr15
    337 chrX chr18
    337 chr18 chrX
    333 chr13 chr10
    333 chr10 chr13
    318 chr7 chr18
    318 chr18 chr7
    314 chr8 chr15
    314 chr6 chr21
    314 chr21 chr6
    314 chr16 chr14
    314 chr15 chr8
    314 chr14 chr16
    312 chr19 chr17
    312 chr17 chr19
    311 chr8 chr13
    311 chr13 chr8
    310 chr6 chr18
    310 chr18 chr6
    308 chr13 chr11
    308 chr11 chr13
    305 chr18 chr17
    305 chr17 chr18
    304 chr18 chr12
    304 chr12 chr18
    303 chr8 chr20
    303 chr20 chr8
    295 chr22 chr15
    295 chr15 chr22
    294 chr8 chr21
    294 chr21 chr8
    290 chr20 chr13
    290 chr13 chr20
    286 chr15 chr14
    286 chr14 chr15
    281 chr21 chr11
    281 chr11 chr21
    277 chrX chr22
    277 chr22 chrX
    276 chr8 chr18
    276 chr18 chr8
    275 chr8 chr22
    275 chr22 chr8
    264 chr6 chr22
    264 chr22 chr6
    264 chr17 chr13
    264 chr13 chr17
    260 chr22 chr12
    260 chr19 chr15
    260 chr15 chr19
    260 chr12 chr22
    255 chr19 chr14
    255 chr14 chr19
    253 chr21 chr19
    253 chr19 chr21
    251 chr22 chr19
    251 chr19 chr22
    247 chr18 chr14
    247 chr14 chr18
    245 chr16 chr13
    245 chr13 chr16
    241 chr22 chr11
    241 chr11 chr22
    230 chr18 chr11
    230 chr11 chr18
    228 chr18 chr16
    228 chr16 chr18
    216 chr21 chr18
    216 chr18 chr21
    214 chr15 chr13
    214 chr13 chr15
    196 chr19 chr13
    196 chr13 chr19
    180 chr18 chr15
    180 chr15 chr18
    178 chr19 chr18
    178 chr18 chr19
    176 chr18 chr13
    176 chr13 chr18
    159 chrY chr12
    159 chr12 chrY
    130 chrY chr6
    130 chr6 chrY
    105 chrY chr11
    105 chr11 chrY
     87 chrY chr8
     87 chr8 chrY
     79 chrY chr13
     79 chr13 chrY
     71 chrY chr19
     71 chr19 chrY
     48 chrM chr1
     48 chr1 chrM
     19 chrM chr5
     19 chr5 chrM
     16 chrM chr17
     16 chr17 chrM
     10 chrX chrM
     10 chrM chrX
     10 chrM chr8
     10 chrM chr4
     10 chr8 chrM
     10 chr4 chrM
      9 chrM chr7
      9 chrM chr3
      9 chrM chr14
      9 chrM chr11
      9 chr7 chrM
      9 chr3 chrM
      9 chr14 chrM
      9 chr11 chrM
      8 chrM chr6
      8 chrM chr12
      8 chr6 chrM
      8 chr12 chrM
      7 chrM chr9
      7 chr9 chrM
      6 chrM chr19
      6 chrM chr16
      6 chrM chr10
      6 chr19 chrM
      6 chr16 chrM
      6 chr10 chrM
      5 chrM chr20
      5 chrM chr18
      5 chrM chr15
      5 chrM chr13
      5 chr20 chrM
      5 chr18 chrM
      5 chr15 chrM
      5 chr13 chrM
      4 chrM chr21
      4 chr21 chrM
      3 chrY chrM
      3 chrM chrY
      1 chrM chr22
      1 chr22 chrM
Insert size distribution:
Mean: 3.99535e+07 Total: 316887
